Product URL,name,brand name,price
https://www.ajio.com/diktmark-embroidered-a-line-kurta/p/466525532_white,Embroidered A-Line Kurta,Diktmark,525
https://www.ajio.com/nobarr-women-high-neck-shift-dress/p/700146036_black,Women High-Neck Shift Dress,Nobarr,930
https://www.ajio.com/leriya-fashion-women-floral-print-regular-fit-shirt/p/700044746_purple,Women Floral Print Regular Fit Shirt,LERIYA FASHION,690
https://www.ajio.com/gulmohar-jaipur-floral-print-v-neck-straight-kurta/p/465784206_indigo,Floral Print V-Neck Straight Kurta,GULMOHAR JAIPUR,573
https://www.ajio.com/gulmohar-jaipur-floral-flared-kurta-set/p/465514841_black,Floral Flared Kurta Set,GULMOHAR JAIPUR,1368
https://www.ajio.com/fable-street-cuffed-sleeves-top-with-v-neck/p/461178513_blue,Cuffed Sleeves Top with V Neck,Fable Street,1383
https://www.ajio.com/neudis-women-straight-fit-pants-with-drawstring-waist/p/466853941_green,Women Straight Fit Pants with Drawstring Waist,NEUDIS,450
https://www.ajio.com/avaasa-mix-n-match-ankle-length-leggings-with-elasticated-waist/p/441020957_maroonburg,Ankle-Length Leggings with Elasticated Waist,AVAASA MIX N' MATCH,299
https://www.ajio.com/gufrina-printed-2-piece-shirt-with-trousers-set/p/467114614_white,Printed 2-Piece Shirt with Trousers Set,GUFRINA,754
https://www.ajio.com/beelee-typs-tie--dye-t-shirt--pyjamas-set/p/466540335_black,Tie & Dye T-Shirt & Pyjamas Set,Beelee Typs,584
https://www.ajio.com/ivoc-women-relaxed-fit-cargo-pants/p/467050605_grey,Women Relaxed Fit Cargo Pants,IVOC,1280
https://www.ajio.com/fable-street-high-rise-wide-leg-pants/p/461855351_olive,High Rise Wide Leg Pants,Fable Street,1821
https://www.ajio.com/berrylicious-women-printed-straight-kurta-with-pants--dupatta-set/p/467030701_blue,Women Printed Straight Kurta with Pants & Dupatta Set,BERRYLICIOUS,750
https://www.ajio.com/max-women-embroidered-relaxed-fit-palazzos-with-elasticated-waistband/p/466796953_offwhite,Women Embroidered Relaxed Fit Palazzos with Elasticated Waistband,MAX,479
https://www.ajio.com/fig-women-regular-fit-flat-front-trousers/p/443050688_brown,Women Regular Fit Flat-Front Trousers,Fig,599
https://www.ajio.com/ichaa-ikat-print-top--pyjamas-set-/p/466509086_maroon,Ikat Print Top & Pyjamas Set ,ICHAA,537
https://www.ajio.com/saabhi-floral-print-a-line-kurta-set/p/466393452_blue,Floral Print A-Line Kurta Set,SAABHI,999
https://www.ajio.com/global-republic-textured-bodycon-dress/p/465457049_yellow,Textured Bodycon Dress,GLOBAL REPUBLIC,1248
https://www.ajio.com/dnmx-women-typographic-print-regular-fit-crew-neck-t-shirt/p/443049239_pink,Women Typographic Print Regular Fit Crew-Neck T-Shirt,DNMX,249
https://www.ajio.com/gulmohar-jaipur-bandhani-print-flared-kurta/p/466406540_green,Bandhani Print Flared Kurta,GULMOHAR JAIPUR,780
https://www.ajio.com/fig-pack-of-3-stretch-cotton-mid-rise-bikini-panty/p/443023978_multi2,Pack of 3 Stretch Cotton Mid Rise Bikini Panty,Fig,229
https://www.ajio.com/fig-pack-of-3-stretch-cotton-mid-rise-bikini-panty/p/443023978_multi2,Pack of 3 Stretch Cotton Mid Rise Bikini Panty,Fig,229
https://www.ajio.com/amira-s-indian-ethnic-wear-women-straight-fit-flat-front-trousers/p/467213239_offwhite,Women Straight Fit Flat-Front Trousers,Amira's Indian Ethnic Wear,390
https://www.ajio.com/global-republic-women-ruched-regular-fit-top/p/467334432_purple,Women Ruched Regular Fit Top,GLOBAL REPUBLIC,759
https://www.ajio.com/fery-london-women-floral-print-regular-fit-shirt/p/467311831_green,Women Floral Print Regular Fit shirt,Fery London,440
https://www.ajio.com/mizaz-women-floral-print-flared-kurta-with-dupatta/p/700120726_blue,Women Floral Print Flared Kurta with Dupatta,Mizaz,1110
